totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
2552,55.2,52.6,14.6,11.3,85,42133000200
2426,37.1,77,4.7,4.4,61.3,42133000300
1973,62,83.4,2.8,4.5,84.2,42133000400
2736,60.5,75.8,3.2,0,53,42133000500
3064,38.6,62.7,1.7,20.9,66.6,42133000600
3032,64.7,58.2,12.2,0,67.4,42133000700
2306,53.5,77.5,5.9,10.3,68.7,42133000800
3551,38.9,76.6,6.5,6.8,70.4,42133000900
1437,78.1,77.3,2,1.2,55.5,42133001000
3568,62,55.7,0,0.3,82.4,42133001100
3254,58,55,6.3,5.7,85.5,42133001200
3553,67.3,71.8,3.1,10.1,91.4,42133001300
4352,74.6,87.1,1.4,2.3,69.3,42133001400
3479,62.8,53.4,5,8.9,69.7,42133001500
1531,55.9,64.5,5.8,0,37.6,42133001600
4440,84.3,87.2,0.3,2.8,61.4,42133010120
3952,91.4,85.4,0,7.9,100,42133010130
3713,57.9,81.3,0,4.9,72.5,42133010131
5651,35.6,89.5,2.1,2.9,4.7,42133010132
3300,78.6,81.6,1,5.1,94.7,42133010210
5812,69,81.4,0.9,8.7,78.3,42133010220
1616,54.8,90.4,0.6,4.5,83.8,42133010300
3714,65.3,77,2.8,8.8,76.5,42133010400
5292,58.4,61.9,18.9,6.6,50.3,42133010510
2510,73.8,77.9,2.2,8.8,58.9,42133010520
3287,44.7,81.8,0.9,9.4,73.5,42133020100
4746,59.9,87.5,0.8,7.1,75,42133020220
5217,55,85.1,0,5.7,73.6,42133020221
4241,54.7,82.3,1.2,8,NA,42133020222
2672,72.2,87.5,1.4,7.5,100,42133020310
3592,65.9,81.7,1.2,10.3,NA,42133020321
4013,71.4,88.2,0.3,9.5,40,42133020322
5270,50.5,88.2,0.1,4.5,64.1,42133020410
3928,66.1,83.8,0.9,5.6,63.3,42133020421
5098,82.9,86.2,0,8.8,41,42133020422
4073,80.3,89.7,0,6.4,64.7,42133020510
4062,88.8,87.6,1,5.7,NA,42133020522
2169,65.6,79.1,6.7,2.9,100,42133020523
4135,59.9,85.9,2.4,1.6,77.6,42133020524
2779,54,65.2,16.1,1.5,87.6,42003463900
3210,64.3,71.3,1.2,5.8,94.2,42003464300
3113,65.4,63.9,0,8.9,53.3,42003464400
2517,71.6,73.5,5.6,6.4,47.7,42003465600
3293,46.4,79.1,1.6,4.9,44.9,42003465800
1538,53,81.4,1.1,8,70.3,42003468700
2660,49.3,69.2,1.6,11.8,94.9,42003468800
3641,57.1,58.9,6,11.3,61.9,42003468900
4814,63.2,73.9,2.8,5.7,27.9,42003469000
3985,97.7,76.6,1.8,13.1,62.6,42003470300
2840,53.4,77.5,0,10.4,100,42003470400
3738,45.7,50.2,3.5,19.1,85.3,42003470501
3003,85.5,72.5,3.5,11.7,64.7,42003470502
2959,57.3,84,1.3,3.3,90,42003470600
1228,46.9,72.4,5.3,6.8,NA,42003471000
2289,43,63.7,1.8,14.3,100,42003472100
2267,40,62.6,2.3,4.1,100,42003472200
1998,36.3,56.3,3.2,7.6,99.2,42003472300
1781,59.7,62.1,2.2,14.2,100,42003472400
4749,82.1,67.3,5.2,11,0,42003473100
2820,82.4,70.3,3.3,10.1,55.2,42003473200
5535,80.5,65.7,0.7,16,79.4,42003473300
3725,65.6,60.8,5.2,17.6,100,42003473401
3406,84.9,60.5,1.9,6,NA,42003473402
